loan_status,loan_amnt,grade,home_ownership,annual_inc,age,emp_cat,ir_cat
0,5000,B,RENT,24e3,33,0-15,8-11
0,2400,C,RENT,12252.0,31,15-30,Missing
0,10000,C,RENT,49200.0,24,0-15,11-13.5
0,5000,A,RENT,36e3,39,0-15,Missing
0,3000,E,RENT,48e3,24,0-15,Missing
0,12000,B,OWN,75e3,28,0-15,11-13.5
1,9000,C,RENT,3e4,22,0-15,11-13.5
0,3000,B,RENT,15e3,22,0-15,8-11
1,10000,B,RENT,1e5,28,0-15,8-11
0,1000,D,RENT,28e3,22,0-15,13.5+
0,10000,C,RENT,42e3,23,0-15,Missing
0,3600,A,MORTGAGE,11e4,27,0-15,0-8
0,6000,B,MORTGAGE,84e3,30,0-15,Missing
0,9200,A,RENT,77385.19,24,0-15,0-8
1,21000,B,RENT,105e3,29,15-30,11-13.5
0,10000,B,OWN,5e4,23,0-15,11-13.5
0,10000,B,RENT,5e4,22,0-15,11-13.5
1,6000,B,RENT,76e3,31,0-15,11-13.5
0,15000,B,MORTGAGE,92e3,23,0-15,8-11
1,15000,C,RENT,6e4,30,0-15,13.5+
0,4000,B,MORTGAGE,106e3,27,15-30,11-13.5
0,8500,B,RENT,25e3,24,0-15,11-13.5
0,4375,A,MORTGAGE,17108.0,38,0-15,0-8
0,31825,A,MORTGAGE,75e3,23,0-15,0-8
0,5000,A,RENT,24044.0,22,0-15,8-11
0,7000,C,RENT,34e3,27,0-15,13.5+
0,12400,B,RENT,41e3,36,15-30,8-11
0,10800,B,RENT,55596.0,35,0-15,8-11
0,15000,A,RENT,45e3,23,0-15,0-8
0,6000,B,RENT,36852.0,25,0-15,11-13.5
0,9600,A,RENT,68004.0,22,0-15,0-8
0,12000,A,RENT,62300.0,25,0-15,0-8
0,3000,D,MORTGAGE,65e3,26,0-15,13.5+
0,4400,D,RENT,55e3,24,15-30,13.5+
0,6000,A,MORTGAGE,45600.0,21,15-30,0-8
0,14000,B,RENT,8e4,26,0-15,Missing
1,5000,A,MORTGAGE,1e5,27,15-30,8-11
0,10000,B,RENT,27e3,23,0-15,8-11
0,10000,A,RENT,6e4,37,0-15,Missing
0,11000,A,RENT,7e4,26,0-15,0-8
1,15000,B,MORTGAGE,8e4,26,0-15,8-11
0,25600,B,RENT,11e4,29,0-15,Missing
0,7000,B,RENT,4e4,22,0-15,8-11
1,12000,C,RENT,5e4,29,0-15,13.5+
0,12000,B,RENT,46e3,38,0-15,8-11
0,10000,B,OWN,39e3,33,0-15,11-13.5
0,10000,B,RENT,51400.0,23,0-15,8-11
0,7100,D,MORTGAGE,33e3,29,0-15,13.5+
0,8000,D,RENT,62e3,29,0-15,Missing
0,3500,B,MORTGAGE,55e3,33,0-15,8-11
0,16425,C,RENT,44544.0,27,0-15,13.5+
0,15000,C,OWN,61e3,25,0-15,13.5+
1,6400,D,RENT,75e3,35,0-15,13.5+
0,3000,C,RENT,33600.0,27,0-15,11-13.5
0,12000,D,RENT,5e4,25,0-15,13.5+
0,14400,A,OWN,15e4,25,0-15,8-11
0,12000,C,RENT,9e4,28,15-30,13.5+
0,11000,C,MORTGAGE,48e3,26,15-30,11-13.5
0,15000,A,MORTGAGE,52e3,37,0-15,Missing
0,10000,C,RENT,68e3,29,0-15,13.5+
0,11800,B,RENT,42e3,23,0-15,11-13.5
0,4500,A,RENT,53e3,40,0-15,0-8
0,7000,B,RENT,35e3,24,0-15,11-13.5
0,9200,B,RENT,6e4,27,0-15,11-13.5
0,12000,D,RENT,88365.0,28,0-15,13.5+
0,12000,C,RENT,72e3,28,0-15,11-13.5
0,12000,B,RENT,62e3,28,0-15,8-11
0,7000,B,MORTGAGE,43680.0,27,0-15,8-11
0,10500,B,RENT,66e3,31,0-15,11-13.5
0,7000,B,OWN,39120.0,23,0-15,11-13.5
0,3500,A,MORTGAGE,83e3,27,0-15,0-8
1,6200,B,RENT,25e3,36,0-15,8-11
0,6000,A,OWN,28800.0,26,0-15,8-11
0,7200,B,RENT,135e3,25,0-15,8-11
0,9500,A,MORTGAGE,5e4,27,0-15,8-11
0,24000,B,RENT,45e3,40,0-15,8-11
0,6000,C,RENT,8e4,32,15-30,Missing
0,6000,C,RENT,5e4,29,0-15,11-13.5
0,2100,B,MORTGAGE,3e4,48,15-30,11-13.5
0,5500,A,MORTGAGE,11e4,25,0-15,0-8
0,11000,A,OWN,45608.0,26,0-15,0-8
0,8000,B,MORTGAGE,35e3,35,0-15,11-13.5
1,10000,D,RENT,75e3,24,0-15,13.5+
0,8000,B,MORTGAGE,35e3,24,0-15,11-13.5
0,10000,A,RENT,24e3,33,0-15,8-11
0,12000,B,MORTGAGE,126e3,28,0-15,11-13.5
0,10000,A,RENT,43e3,37,0-15,0-8
0,12000,B,RENT,5e4,26,0-15,Missing
1,19750,B,RENT,45e3,42,0-15,8-11
0,10000,B,RENT,31200.0,25,0-15,8-11
0,13650,B,RENT,66e3,45,0-15,11-13.5
0,18000,A,RENT,56964.0,29,0-15,Missing
0,2500,C,RENT,49500.0,22,0-15,13.5+
0,35000,A,MORTGAGE,125e3,23,0-15,8-11
0,10000,A,RENT,33e3,25,0-15,0-8
0,7000,B,RENT,3e4,23,0-15,11-13.5
1,24000,C,MORTGAGE,9e4,24,0-15,13.5+
0,10625,A,MORTGAGE,23e3,22,0-15,0-8
0,5000,C,RENT,24e3,37,0-15,13.5+
0,8850,A,RENT,62e3,24,15-30,0-8
0,6375,A,RENT,44e3,25,0-15,Missing
0,6000,B,RENT,9e4,27,0-15,11-13.5
1,11100,A,RENT,41e3,38,15-30,0-8
0,6200,A,MORTGAGE,26500.0,44,0-15,0-8
0,15000,E,RENT,54e3,26,0-15,13.5+
0,4200,B,RENT,53e3,35,0-15,11-13.5
0,14000,C,RENT,52800.0,23,0-15,13.5+
0,8875,A,MORTGAGE,38e3,26,0-15,0-8
0,13500,B,RENT,38e3,21,0-15,8-11
1,12000,B,RENT,42e3,24,0-15,8-11
0,6000,B,MORTGAGE,87e3,24,0-15,8-11
1,10000,B,RENT,6e4,46,0-15,11-13.5
0,12000,D,MORTGAGE,8e4,26,0-15,13.5+
0,7200,B,RENT,48e3,22,0-15,11-13.5
1,5600,C,MORTGAGE,85e3,24,0-15,13.5+
0,12000,C,RENT,57e3,23,0-15,Missing
0,8500,A,RENT,25e3,23,0-15,0-8
0,8000,B,RENT,34e3,22,0-15,8-11
0,8000,B,RENT,4e4,25,0-15,11-13.5
